Transect or region,Latitude (°),Longitude (°),Elevation (m asl),δ18O (‰),Reference
Brat,-71.8369,24.4619,1124,-35.60,This study
Brat,-71.8368,24.4613,1125,-36.16,This study
Brat,-71.8367,24.4607,1125,-36.72,This study
Brat,-71.8365,24.4600,1126,-36.38,This study
Brat,-71.8364,24.4596,1126,-37.90,This study
Brat,-71.8363,24.4590,1127,-36.41,This study
Brat,-71.8361,24.4583,1127,-36.06,This study
Brat,-71.8360,24.4579,1128,-34.55,This study
Brat,-71.8359,24.4572,1129,-35.19,This study
Brat,-71.8357,24.4566,1129,-34.85,This study
Brat,-71.8356,24.4562,1130,-35.40,This study
Brat,-71.8355,24.4555,1131,-35.43,This study
Brat,-71.8354,24.4549,1132,-36.53,This study
Brat,-71.8353,24.4545,1133,-35.54,This study
Brat,-71.8351,24.4538,1134,-34.67,This study
Brat,-71.8350,24.4532,1135,-35.41,This study
Brat,-71.8349,24.4527,1136,-36.56,This study
Brat,-71.8347,24.4521,1138,-37.37,This study
Brat,-71.8346,24.4514,1139,-34.80,This study
Brat,-71.8344,24.4508,1140,-34.57,This study
Brat,-71.8343,24.4504,1141,-33.74,This study
Brat,-71.8342,24.4497,1142,-35.77,This study
Brat,-71.8340,24.4491,1143,-33.42,This study
Brat,-71.8339,24.4487,1145,-33.61,This study
Brat,-71.8338,24.4480,1146,-31.98,This study
Brat,-71.8337,24.4474,1147,-32.23,This study
Brat,-71.8336,24.4469,1148,-37.54,This study
Brat,-71.8334,24.4463,1149,-34.49,This study
Brat,-71.8333,24.4457,1151,-33.20,This study
Brat,-71.8332,24.4452,1152,-33.01,This study
Brat,-71.8330,24.4446,1153,-36.73,This study
Brat,-71.8329,24.4442,1154,-33.70,This study
Brat,-71.8326,24.4429,1154,-37.14,This study
Brat,-71.8326,24.4426,1155,-36.77,This study
Brat,-71.8322,24.4411,1156,-35.32,This study
Brat,-71.8325,24.4422,1157,-32.35,This study
Brat,-71.8324,24.4418,1157,-30.33,This study
Brat,-71.8321,24.4405,1158,-35.42,This study
Brat,-71.8320,24.4399,1159,-34.17,This study
Brat,-71.8319,24.4396,1159,-33.69,This study
Brat,-71.8317,24.4388,1159,-37.63,This study
Brat,-71.8315,24.4379,1160,-35.04,This study
Brat,-71.8315,24.4377,1160,-34.97,This study
Brat,-71.8313,24.4371,1160,-35.69,This study
Brat,-71.8312,24.4364,1161,-29.78,This study
Brat,-71.8311,24.4362,1161,-33.91,This study
Brat,-71.8309,24.4354,1161,-32.52,This study
Brat,-71.8308,24.4347,1162,-30.72,This study
Brat,-71.8307,24.4343,1162,-28.68,This study
Brat,-71.8305,24.4336,1162,-34.26,This study
Brat,-71.8304,24.4330,1163,-30.29,This study
Brat,-71.8302,24.4324,1163,-29.32,This study
Brat,-71.8302,24.4319,1163,-29.18,This study
Brat,-71.8300,24.4313,1164,-31.83,This study
Brat,-71.8299,24.4306,1164,-27.32,This study
Brat,-71.8298,24.4302,1164,-31.16,This study
Brat,-71.8296,24.4296,1165,-27.59,This study
Brat,-71.8295,24.4289,1165,-29.39,This study
Brat,-71.8294,24.4285,1165,-27.61,This study
Brat,-71.8292,24.4278,1166,-29.96,This study
Brat,-71.8291,24.4272,1166,-30.82,This study
Brat,-71.8290,24.4268,1166,-31.82,This study
Brat,-71.8288,24.4261,1166,-29.08,This study
Brat,-71.8287,24.4255,1166,-30.01,This study
Brat,-71.8286,24.4251,1166,-29.01,This study
Brat,-71.8285,24.4244,1167,-27.95,This study
Brat,-71.8283,24.4238,1167,-32.31,This study
Brat,-71.8282,24.4231,1167,-31.11,This study
Brat,-71.8281,24.4227,1167,-27.65,This study
Brat,-71.8279,24.4221,1167,-29.74,This study
Brat,-71.8278,24.4214,1167,-29.65,This study
Brat,-71.8277,24.4210,1167,-29.98,This study
Brat,-71.8275,24.4203,1167,-28.54,This study
Brat,-71.8274,24.4197,1167,-29.02,This study
Brat,-71.8273,24.4193,1167,-30.84,This study
Brat,-71.8271,24.4186,1167,-28.92,This study
Brat,-71.8270,24.4180,1167,-28.81,This study
Brat,-71.8269,24.4176,1167,-28.28,This study
Brat,-71.8267,24.4169,1167,-27.83,This study
Brat,-71.8266,24.4163,1167,-27.41,This study
Brat,-71.8265,24.4158,1167,-30.17,This study
